번호,게임 장르,게임 이름,게임 회사,플레이 시간,기타 어필 사항,클리어 했거나 짧은 기간 플레이 한 게임들은 제외,,,,,
106,탄막 슈팅,동방요요몽 ~ Perfect Cherry Blossom.,상하이 앨리스 환악단,,,,,,,,
107,탄막 슈팅,동방영야초 ~ Imperishable Night.,상하이 앨리스 환악단,,,,,,,,
108,탄막 슈팅,동방홍룡동 ~ Unconnected Marketeers.,상하이 앨리스 환악단,,,,,,,,
109,탄막 슈팅,동방췌몽상 ~ Immaterial and Missing Power.,상하이 앨리스 환악단,,,,,,,,
110,대전 격투,동방비상천 ~ Scarlet Weather Rhapsody.,상하이 앨리스 환악단,,,,,,,,
111,대전 격투,동방비상천칙 ~ 초대형 기뇰의 수수께끼를 쫓아서,상하이 앨리스 환악단,,,,,,,,
112,"호러, 4인 협동 SF",Lethal Company,Zeekerss,,,,,,,,
113,슈팅,라이덴 2,세이부 개발,,,,,,,,
114,포격,포트리스 2,CCR,,,,,,,,
115,역사 전략 시뮬레이션,삼국지 7,KOEI TECMO,,,,,,,,
116,역사 전략 시뮬레이션,삼국지 8,KOEI TECMO,,,,,,,,
117,역사 전략 시뮬레이션,삼국지 8 리메이크,KOEI TECMO,,,,,,,,
118,역사 전략 시뮬레이션,삼국지 13,KOEI TECMO,,,,,,,,
119,역사 전략 시뮬레이션,삼국지 14,KOEI TECMO,,,,,,,,
120,슈팅,섹시 파로디우스,코나미,,,,,,,,
121,로봇 대전 격투,초강전기 키카이오,캡콤,,,,,,,,
122,"호러, 어드벤처",Ib,kouri,,,,,,,,
123,런앤건,메탈슬러그,SNK,,,,,,,,
124,런앤건,메탈슬러그 2,SNK,,,,,,,,
125,런앤건,메탈슬러그 3,SNK,,,,,,,,
126,런앤건,메탈슬러그 4,SNK,,,,,,,,
127,JRPG,드래곤 퀘스트 V 천공의 신부,춘소프트,,,,,,,,
128,RPG,Pok?mon: The Slowpoke Shack (포켓몬: 야돈의 집),"TEAM @KennyCatches, @ENLS",,,,,,,,
129,"디스토피아, 서류 스릴러","Papers, Please",Lucas Pope,,,,,,,,
130,"인디, 뉴클리어 아포칼립스",60 Seconds!,Robot Gentleman,,,,,,,,
131,액션 로그라이크,HellPunk: Purgatorium Demo,Urban Oasis,,,,,,,,
132,서바이벌 호러,Look Outside,Francis Coulombe,,,,,,,,
133,RPG,Pokemon Legends Z-A,게임프리크,,,,,,,,
134,추리 어드벤처,FakeBook,반지하게임즈,,,,,,,,
135,,,,,,,,,,,
136,,,,,,,,,,,
137,,,,,,,,,,,
138,,,,,,,,,,,
139,,,,,,,,,,,
140,,,,,,,,,,,
141,,,,,,,,,,,
